Request_Number,Request_Type,Source,Summary_of_Request,Decision,OBJECTID
94051,General Information,Public,Confirmation of ownership status of {name removed} in a cab company.,All disclosed,50
94052,General Information,Public,Screening and interview notes/results in Competition Files 94-274 and 94-291.,Partly exempted,51
94053,Personal Information,Public,Personal Information for {name removed} in Competition Files 94-274 and 94-291.,Partly exempted,52
94054,Personal Information,Public,Statement giving reason requester is not acceptable for employment.,Partly non-existent,53
94055,Personal Information,Individual by Agent,Home Child Care file for {name removed} containing interaction between {name removed} and Home Child Care provider.,Withdrawn,54
94056,Personal Information,Public,Information regarding {name removed} applications to positions in Water/Wastewater Division. ,Partly exempted,55
94057,General Information,Individual by Agent,History for bites and offences of dog owned by {name removed}.,Partly exempted,56
94058,Personal Information,Public,Human Resources Personal File for {name removed}.,All disclosed,57
94059,Personal Information,Public,Supervisor's files for {name removed} in Income Maintenance.,Withdrawn,58
94060,Correction,Public,Correction of records in harassment investigation file for {name removed}.,Correction refused,59
94061,Personal Information,Public,Notes from Home Child Care Provider file for {name removed} regarding third party comments about quality of care.,Partly exempted,60
94062,Personal Information,Public,Referral form to Employment Services from GWA caseworker for {name removed}.,Withdrawn,61
94063,General Information,Individual by Agent,Water Resource Protection Issues for Mannheim recharge system.,All disclosed,62
94064,Personal Information,Public,Income Maintenance file for {name removed} and related information.,Partly exempted,63
94065,General Information,Public,Competition File 94-360.,Partly exempted,64
94066,Personal Information,Public,Personal Information for {name removed} in Competition File 94-360.,All disclosed,65
94067,Personal Information,Public,Correspondence to Income Maintenance caseworker for {name removed} between 91/1/1 and 92/3/30.,All disclosed,66
94068,General Information,Public,Postings for competitions {name removed} applied to from March 30/92 to present.,All disclosed,67
