Request_Number,Request_Type,Source,Summary_of_Request,Decision,OBJECTID
2015029,Personal,Individual by agent ,Complete Ontario Works file of {name removed},All information disclosed,28
2015030,General ,Individual by agent ,"Report of any outstanding work orders or deficiency notice(s) (including violations under the Smoke-Free Ontario Act) filed against Top Convenience, located at 370 Highland Road West, Kitchener",No responsive records exist,29
2015031,General ,Business ,"Video footage of an incident that took place on a GRT Bus on March 19, 2015 at Pinebush and Hwy 24",Information disclosed in part,30
2015032,Personal Health Information ,Individual by agent ,"Investigation file and notes of Natan Somer, Public Health Inspector with regard to an investigation into Salmonella poisoning of {name removed}.",Transferred to Region of Waterloo Public Health,31
2015033,Personal,Individual by agent ,Complete Ontario Works file of {name removed},No responsive records exist,32
2015034,Personal,Individual by agent ,Complete Ontario Works file of {name removed},Information disclosed in part,33
2015035,General ,Business ,"The amount budgeted or reserved for by the Region in any year, directly or indirectly for claims for ""injurious affection,"" as that term is defined in the Expropriations Act, associated with the construction of the Light Rail Transit.",No responsive records exist,34
2015036,Personal,Individual by agent ,Complete Ontario Works file of {name removed},All information disclosed,35
2015037,Personal Health Information ,Individual,Copy of a report from the early 1990's about an illness {name removed} suffered with terrible diarrhea.,Transferred to Region of Waterloo Public Health,36
2015038,General ,Individual ,"A full complete accounting of the total cost of employee parking for 2014, including back up in the form of copies of source documents.  A full and complete accounting of the total recovered from employees for parking in 2014, including the number of employees paying for offsite parking, onsite parking and number of employees not paying for parking.  A full and complete accounting of total taxable benefits assessed for parking for 2014.",All information disclosed,37
2015039,General ,Individual by agent ,"Complete copy of the complaint file of {name removed} including, but not limited to the documents relating to a dog bite which occurred on April 7, 2014.  Any records related to dog bite incident, and any other logs/registration information pertaining to the owner of the dog in question.",Information disclosed in part,38
2015040,General ,Individual ,"Report compiled by Public Health Inspector, Carolyn Biglow on the dog bite which took place on the night of October 31, 2015.",Information disclosed in part,39
2015041,General ,Individual by agent,"Copy of complete records with respect to a dog bite received by {name removed} on August 28, 2015 including, but not limited to, all incident reports, investigation notes and witness statements, together with inoculation information relating to the dog.",Information disclosed in part,40
2015042,Personal,Individual ,"Court documentation from 1996 to present; all Family Responsibilities Office documents for all children, all amounts owing per year, and proof of payments made by {name removed}; all school documents including enrollment records per child.",No responsive records exist,41
2015043,Personal,Individual by agent ,Complete copy of the Ontario Works file for {name removed}.,Information disclosed in part,42
