Request_Number,Request_Type,Source,Summary_of_Request,Decision,OBJECTID
2016063,General,Individual,"Total number of EMS calls; number of times each ALS skill was used; total number of CTAS 1 & 2 returns and total number of offload delays in the most recent year.",All Information disclosed,62
2016064,General,Individual,"Video from Grand River Transit Bus #8017 on Route 201 from Conestoga Mall at Fischer Hallman and Ottawa on August 19, 2016 at approximately 6:12 - 6:15pm.",Information disclosed in part,63
2016065,General,Individual by agent,Employment file and other relevant financial information for {name removed}.,Withdrawn,64
2016066,General,Business,"Records relating to environmental spills, reports, data etc. or any other information relevant to 1300 Bishop St. North, Cambridge in terms of environmental information. ",All Information disclosed,65
2016067,General,Individual,"Names of security guards working at the Ainslie Grand River Transit terminal; audio video footage of the smoking area at the Ainslie St. terminal on Tuesday, October 11, 2016 from 5:30pm-6:00pm; audio video footage of Grand River Transit bus #2723 from 5:43pm-6:05pm on October 11, 2016.",All Information disclosed,66
2016068,General,Individual,"List of contact information for all small drinking water systems in the Region of Waterloo that fall under O.Reg 318/319 such as gas stations, churches, restaurants, schools, motels and campgrounds; name and contact list of all facilities located in Waterloo Region that have a discharge/surcharge agreement with the Region in order to discharge industrial wastewater into sewer system.",Abandoned,67
2016069,General,Individual by agent,"Copy of {name removed} rabies file including all statements, reports and records for the incident on July 14, 2016.",Information disclosed in part,68
2016070,General,Business,"Copy of the statements obtained from anyone directly related to the incident and any other material witness statements obtained by the investigating officers; or any letters and complaints forwarded to the Region of Waterloo regarding this Grand River Transit Bus shelter; copy of any photos taken and any video surveillance; information, including but not limited to work orders, complaints and inspections regarding the rebuilding of the Grand River Transit Shelter; as well as information as to any adjacent construction or changes to Langs Drive.",Information disclosed in part,69
2016071,General,Individual by agent,"Video surveillance of bus accident on October 14, 2016 at Ira Needles Blvd. near the Boardwalk.",Abandoned,70
2016072,General,Individual by agent,"Records with respect to any medical incidents that occurred at 272 Clyde Rd. Unit 1, Cambridge, Ontario N1R 1L1 from December 28, 2010 to present.",Information disclosed in part,71
2016073,General,Individual,"A copy of the contractor evaluation forms for T2015-107, 150 Main Street Phase 2 HVAC Upgrades.",Withdrawn,72
2016074,General,Individual,A copy of the contractor evaluation forms for Joseph Schneider Haus - Railing project.,Withdrawn,73
2016075,General,Individual,"A copy of the contractor evaluation forms for T2015-196, Hespeler W.T.P. Prefabricated Building & Electrical Duct Banks.",Withdrawn,74
2016076,General,Business,"Copy of the statements obtained from anyone directly related to the incident and any other material witness statements obtained by the investigating officers; or any letters and complaints forwarded to the Region of Waterloo regarding this Grand River Transit Bus shelter; copy of any photos taken and any video surveillance; information, including but not limited to work orders, complaints and inspections regarding the rebuilding of the Grand River Transit Shelter; as well as information as to any adjacent construction or changes to Grand River Transit Bus Terminal.",All Information disclosed,75
2016077,General,Business,"Any records or any environmental concerns regarding 83 Elmsdale Drive, including the information contained on the HSW Environmental Site Information index.",Information disclosed in part,76
2016078,General,Business,"3 reports completed for the Former Kitchener Landfill  on Ottawa Street South, Kitchener.",All Information disclosed,77
2016079,General,Media,All records related to notices filed in connection with LRT construction-related business losses and the number of notices that have been received by the Region of Waterloo. on the same topic.,No information disclosed ,78
2016080,Personal ,Individual by agent,Complete copy of Ontario Works file for {name removed} and {name removed}.,All Information disclosed,79
2016081,General,Business,"Grand River Transit video surveillance for the intersection of Victoria St. North and Duke St., Kitchener on October 12, 2016 at approximately 7:10am.",Abandoned,80
2016082,General,Individual by agent,"Grand River Transit video surveillance for bus route 202 on October 31, 2016. Individual fell off scooter while a passenger on the bus.",All Information disclosed,81
